song,status,n_variations,detail
song_001_full,SPLIT_OK,2,var1: такти 1-16
song_001_full,SPLIT_OK,2,var2: такти 17-34
song_002_full,SPLIT_OK,3,var1: такти 1-16
song_002_full,SPLIT_OK,3,var2: такти 17-32
song_002_full,SPLIT_OK,3,var3: такти 33-48
song_003_full,SPLIT_OK,3,var1: такти 1-16
song_003_full,SPLIT_OK,3,var2: такти 17-30
song_003_full,SPLIT_OK,3,var3: такти 31-45
song_004_full,SPLIT_OK,6,var1: такти 1-16
song_004_full,SPLIT_OK,6,var2: такти 17-31
song_004_full,SPLIT_OK,6,var3: такти 32-39
song_004_full,SPLIT_OK,6,var4: такти 40-50
song_004_full,SPLIT_OK,6,var5: такти 51-65
song_004_full,SPLIT_OK,6,var6: такти 66-77
song_005_full,SPLIT_OK,4,var1: такти 1-13
song_005_full,SPLIT_OK,4,var2: такти 14-29
song_005_full,SPLIT_OK,4,var3: такти 30-45
song_005_full,SPLIT_OK,4,var4: такти 46-86
song_006_full,SPLIT_OK,3,var1: такти 1-17
song_006_full,SPLIT_OK,3,var2: такти 18-34
song_006_full,SPLIT_OK,3,var3: такти 35-62
song_007_full,SPLIT_OK,3,var1: такти 5-20
song_007_full,SPLIT_OK,3,var2: такти 21-41
song_007_full,SPLIT_OK,3,var3: такти 42-62
song_008_full,SPLIT_OK,7,var1: такти 1-7
song_008_full,SPLIT_OK,7,var2: такти 8-28
song_008_full,SPLIT_OK,7,var3: такти 29-42
song_008_full,SPLIT_OK,7,var4: такти 43-50
song_008_full,SPLIT_OK,7,var5: такти 51-69
song_008_full,SPLIT_OK,7,var6: такти 70-75
song_008_full,SPLIT_OK,7,var7: такти 76-103
song_009_full,SPLIT_OK,3,var1: такти 1-8
song_009_full,SPLIT_OK,3,var2: такти 9-32
song_009_full,SPLIT_OK,3,var3: такти 33-44
song_010_full,SPLIT_OK,3,var1: такти 1-12
song_010_full,SPLIT_OK,3,var2: такти 13-24
song_010_full,SPLIT_OK,3,var3: такти 25-50
song_011_full,SPLIT_OK,4,var1: такти 1-25
song_011_full,SPLIT_OK,4,var2: такти 26-42
song_011_full,SPLIT_OK,4,var3: такти 47-59
song_011_full,SPLIT_OK,4,var4: такти 60-100
song_012_full,SPLIT_OK,3,var1: такти 1-18
song_012_full,SPLIT_OK,3,var2: такти 19-38
song_012_full,SPLIT_OK,3,var3: такти 39-56
song_013_full,SPLIT_OK,3,var1: такти 1-30
song_013_full,SPLIT_OK,3,var2: такти 31-45
song_013_full,SPLIT_OK,3,var3: такти 46-91
