split,name,status,melody_key,arrangement_key,issue
all,001,OK,D major,D major,
all,002,OK,A major,A major,
all,003,OK,D major,D major,
all,004,OK,G major,G major,
all,005,OK,G major,G major,
all,006,OK,G major,G major,
all,007,OK,F major,F major,
all,008,OK,D major,D major,
all,009,OK,G major,G major,
all,010,OK,D major,D major,
all,011,OK,G major,G major,
all,012,OK,B- major,B- major,
all,013,OK,G major,G major,
all,014,OK,C major,C major,
all,015,OK,G major,G major,
all,016,OK,B- major,B- major,
all,017,OK,F major,F major,
all,018,OK,G major,G major,
all,019,OK,C major,C major,
all,020,OK,B- major,B- major,
all,021,OK,C major,C major,
all,022,OK,G major,G major,
all,023,OK,G major,G major,
all,024,OK,B- major,B- major,
all,025,OK,G major,G major,
all,026,OK,G major,G major,
all,027,OK,G major,G major,
all,028,OK,F major,F major,
all,029,OK,E- major,E- major,
all,030,OK,A major,A major,
all,031,OK,G major,G major,
all,032,OK,C major,C major,
all,033,OK,D major,D major,
all,034,OK,F major,F major,
all,035,OK,B- major,B- major,
all,036,OK,G major,G major,
all,037,OK,E major,E major,
all,038,OK,F major,F major,
all,039,OK,C major,C major,
all,040,OK,B- major,B- major,
all,041,OK,B- major,B- major,
all,042,OK,C major,C major,
all,043,OK,G major,G major,
all,044,OK,F major,F major,
all,045,OK,C major,C major,
all,046,OK,B- major,B- major,
all,047,OK,E- major,E- major,
all,048,OK,F major,F major,
all,049,OK,A major,A major,
all,050,OK,B- major,B- major,
all,051,OK,A- major,A- major,
all,052,OK,F major,F major,
all,053,OK,F major,F major,
all,054,OK,E major,E major,
all,055,OK,A major,A major,
all,056,OK,B- major,B- major,
all,057,OK,C major,C major,
all,058,OK,E- major,E- major,
all,059,OK,D major,D major,
all,060,OK,E major,E major,
all,061,OK,E- major,E- major,
all,062,OK,F# major,F# major,
all,063,OK,C major,C major,
all,064,OK,D major,D major,
all,065,OK,A- major,A- major,
all,066,OK,B- major,B- major,
all,067,OK,C major,C major,
all,068,OK,D major,D major,
all,069,OK,F major,F major,
all,070,OK,E- major,E- major,
all,071,OK,A major,A major,
all,072,OK,E major,E major,
all,073,OK,F# major,F# major,
all,074,OK,G major,G major,
all,075,OK,A- major,A- major,
all,076,OK,A major,A major,
all,077,OK,B- major,B- major,
all,078,OK,C major,C major,
all,079,OK,D major,D major,
all,080,OK,E major,E major,
all,081,OK,C major,C major,
all,082,OK,E major,E major,
all,083,OK,F major,F major,
